7191, 11136, 1237
7212, -13328, 1634
7233, -3752, 1606
7253, 2198, 1299
7274, 9365, 1195
7295, 15936, 1153
7316, -4225, 1072
7337, -16775, 1149
7358, -14233, 1265
7379, 24507, 1279
7400, 10032, 1231
7630, 1675, 887
7651, -19634, 876
7672, 26016, 880
7693, -22875, 927
7713, -15323, 1016
7734, 1158, 1069
7755, 10719, 1022
7776, 13702, 1023
7797, -30283, 969
7818, 23265, 941
7839, 1019, 1005
7860, -14682, 1206
7881, -10632, 1457
7902, 19325, 1500
7923, -26318, 770
7944, -12487, 696
7965, 24903, 970
7985, 35740, 1318
8006, -26795, 1424
8027, -6489, 1264
8360, -26274, 903
8381, 26184, 918
8402, 17016, 915
8423, -25351, 912
8444, 724, 941
8465, -11723, 967
8486, -10841, 971
8507, 27710, 986
8528, -30529, 1013
8549, 22787, 1068
8570, 24442, 1147
8591, -4835, 1235
8611, 12868, 1261
8632, -29395, 1201
8653, -27154, 1310
8674, 28381, 1676
8695, 2060, 1600
8716, -4005, 1062
8737, -19688, 740
8758, 7541, 793
8778, -10839, 1075
8799, 12681, 1247
8820, 19243, 1164
8965, -29565, 830
8986, 31811, 821
9007, 14224, 812
9028, 18167, 823
9048, -167, 812
9069, -33067, 868
9090, -7492, 894
9111, 17797, 967
9132, -15998, 1069
9153, -32756, 1091
9174, 7740, 1088
9195, -3392, 1135
9216, 15552, 1239
9237, -23311, 1344
9258, 12599, 1343
9279, 21686, 1208
9300, -10008, 1104
9321, -5596, 1387
9342, 14141, 1648
9362, -25147, 1223
9383, 21588, 1125
9404, 29835, 1041
9425, 23740, 1059
9445, -22562, 1157
9466, 8900, 1139
9487, -29, 1069
9590, 3417, 865
9611, 2377, 828
9631, -6495, 783
9652, 20932, 744
9673, -32760, 747
9694, -26653, 794
9715, 31887, 853
9736, -33799, 869
9757, -21139, 846
9778, 27053, 881
9798, 25469, 972
9819, -10243, 1047
9840, 7913, 1082
9861, -10614, 1059
9882, -6865, 1254
9903, -12257, 1386
9924, 20336, 1220
9945, -18807, 1069
9966, 205, 979
9987, 2414, 928
10008, -28608, 1111
10029, 7375, 1275
10050, -12277, 1232
10154, -34496, 853
10175, 7111, 828
10196, 19057, 833
10216, 28067, 853
10237, -2905, 863
10258, 11248, 874
10279, 21007, 907
10300, 24036, 894
10320, -2865, 924
10341, -37006, 951
10362, 14301, 1066
10383, -15713, 1179
10404, 12084, 1263
10425, 13669, 1243
10446, -498, 1333
10467, 8224, 1581
10488, 17275, 1486
10530, 27129, 1080
10551, -15218, 1036
10572, -26915, 1025
10593, 20560, 1158
10613, -13790, 1198
10634, -21722, 1134
10655, -4686, 1104
10676, 25164, 1090
10697, -35250, 1082
10802, -530, 776
10823, -210, 756
10843, -29206, 770
10864, -19499, 790
10885, -17653, 808
10906, 11286, 818
10926, -20734, 854
10947, 2033, 928
10968, 17920, 1000
10989, 5729, 1014
11010, 27619, 973
11031, 27877, 1204
11052, -505, 1584
11073, 10691, 1567
11094, 24233, 1317
11115, -2384, 1141
11136, -14044, 1031
11157, 26094, 1094
11178, -13864, 1144
11199, 13958, 1073
11282, -19331, 882
11303, 5639, 829
11324, 5069, 776
11345, -8633, 740
11366, -22427, 761
11387, 8301, 798
11408, -1765, 886
11428, -20121, 937
11449, 11996, 914
11470, 29194, 928
11491, 5410, 1007
11512, 26278, 1111
