15083, -15690, 1231, 9, 334, 1.500000
15854, 29798, 1044, 9, 416, 0.500000
16687, 15336, 983, 4, 333, 0.500000
17041, 26110, 808, 4, 333, 0.500000
17520, -2162, 870, 4, 334, 1.500000
17853, -21887, 1292, 9, 333, 1.500000
18311, -7227, 962, 4, 334, 1.500000
18645, -9329, 849, 4, 334, 1.500000
19270, 9080, 923, 4, 417, 0.500000
19750, 509, 932, 4, 334, 0.500000
20377, 19460, 928, 4, 439, 0.500000
20919, 2994, 903, 4, 335, 0.500000
21482, -4150, 865, 4, 355, 1.500000
22066, -799, 1016, 9, 334, 1.500000
22400, 29098, 1292, 9, 334, 0.500000
23297, -14281, 1022, 9, 584, 1.500000
24049, 19193, 1188, 9, 501, 0.500000
24403, -1475, 939, 4, 333, 1.500000
24735, -2087, 1132, 9, 332, 1.500000
25068, -14299, 878, 4, 333, 1.500000
25544, -18030, 941, 4, 476, 1.500000
26044, 12168, 986, 4, 354, 0.500000
26461, -18676, 924, 4, 333, 1.500000
27022, -8577, 911, 4, 332, 1.500000
27419, 20071, 1410, 9, 334, 0.500000
27795, -4255, 776, 4, 334, 1.500000
28128, 29354, 884, 4, 333, 0.500000
28629, -19692, 1125, 9, 334, 1.500000
29256, -6630, 1160, 9, 334, 1.500000
29778, -20066, 1180, 9, 334, 1.500000
30509, 17091, 1009, 9, 501, 0.500000
2033, -14251, 897, 4, 350, 1.500000
2383, -4368, 940, 4, 330, 1.500000
2942, -23702, 855, 4, 333, 1.500000
3380, -6308, 912, 4, 334, 1.500000
3944, -31926, 884, 4, 355, 1.500000
4631, -25129, 1239, 9, 333, 1.500000
5028, -12137, 936, 4, 355, 1.500000
5612, -31998, 949, 4, 334, 1.500000
6279, 34305, 975, 4, 333, 1.500000
6697, 2388, 938, 4, 334, 1.500000
7343, -6761, 866, 4, 375, 1.500000
8260, -8730, 897, 4, 793, 1.500000
8697, -30986, 1099, 9, 395, 1.500000
9155, -24523, 947, 4, 333, 1.500000
9715, 4167, 1016, 9, 333, 0.500000
10173, 25119, 773, 4, 334, 0.500000
10570, 8691, 1014, 9, 334, 0.500000
10924, -14485, 1087, 9, 333, 1.500000
11406, 8083, 1006, 9, 335, 0.500000
11761, 12386, 757, 4, 335, 0.500000
12117, 24275, 1092, 9, 335, 0.500000
12764, -30424, 1044, 9, 354, 1.500000
13454, -17735, 839, 4, 460, 1.500000
14103, -6688, 901, 4, 335, 1.500000
15271, 23914, 1005, 9, 645, 0.500000
16002, -3460, 1039, 9, 543, 1.500000
16417, 5000, 1028, 9, 395, 0.500000
17393, 5806, 1084, 9, 332, 0.500000
17811, -32687, 902, 4, 334, 1.500000
18354, 14764, 840, 4, 440, 0.500000
18875, -916, 1008, 9, 334, 1.500000
19208, -8864, 1023, 9, 333, 1.500000
19543, 33491, 921, 4, 335, 0.500000
20084, 26024, 957, 4, 333, 0.500000
20584, 29767, 869, 4, 334, 0.500000
21022, -8682, 867, 4, 334, 1.500000
21439, -28508, 1302, 9, 333, 1.500000
22170, -6567, 940, 4, 563, 1.500000
22755, -11911, 796, 4, 460, 1.500000
23441, -19919, 991, 4, 478, 1.500000
24463, 8386, 1233, 9, 855, 0.500000
